N°,Data,ID,Postagem,Emojis da Postagem,PRU/Não-PRU,Tipo,Analise de Sentimento,Artefato
340,Fri Mar 15 17:53:22 +0000 2019,1106614380177833985,"{User} Pena que poucos pensam assim! E desculpa ter respondio seu Twitter, mais parabéns pelas palavras 👏👏👏",👏(3),Não-PRU,,,Twitter for Android
341,Fri Mar 15 16:44:09 +0000 2019,1106596958398046208,🌹♥️🌹♥️🌹♥️🌹 ➡️ S e g u i m e ! ---- #redes #redessociales #twitter #facebook #Instagram #youtube… {URL},🌹(4)♥(3)➡(1),Não-PRU,,,Twitter for iPhone
342,Fri Mar 15 14:23:46 +0000 2019,1106561630186471426,D.B - KILAMBA 🌃Press▶: {URL}⬇: {URL}… {URL},🌃(1)▶(1)⬇(1),Não-PRU,,,Twitter for Android
343,Fri Mar 15 13:02:37 +0000 2019,1106541209353281536,"Tara tulog 😪💤💤Off Messenger, Twitter, Facebook ⭕",😪(1)💤(2)⭕(1),Não-PRU,,,Twitter for Android
344,Fri Mar 15 12:39:48 +0000 2019,1106535467648983041,Mariana paga de superadaaa nesse twitter gente kkk não aguento ela 🙄😂😂,🙄(1)😂(2),Não-PRU,,,Twitter for Android
345,Fri Mar 15 12:32:41 +0000 2019,1106533676958056448,Minha vida no Twitter bem assim👇🏻👇🏻 #SextaDetremuraSDV {URL},👇(2),Não-PRU,,,Twitter for iPhone
346,Fri Mar 15 12:07:08 +0000 2019,1106527246075027458,"Ah, esse cheirinho de #café aqui na redação da nossa agência...! ☕😊💡 FollowX Comunicação💻… {URL}",☕(1)😊(1)💡(1)💻(1),Não-PRU,,,Twitter for Android
347,Fri Mar 15 10:30:17 +0000 2019,1106502872525615104,"a mais linda do Twitter, bem vinda — Sou expert em photoshop hehehe. 😊💃 {URL}",😊(1)💃(1),Não-PRU,,,Twitter for Device not cataloged
348,Sun Mar 24 06:11:12 +0000 2019,1109699163590197250,único coisa que recebo nesse twitter aqui é vácuo 👍👍👍👌,👍(3)👌(1),Não-PRU,,,Twitter for Android
349,Sun Mar 24 03:59:14 +0000 2019,1109665953393135616,Nunca vi esse Twitter tão parado 💔 tô até assustada kkkkkkk,💔(1),PRU,Crítica,Neutra,Twitter for Android
350,Sun Mar 24 03:20:22 +0000 2019,1109656172498509824,Eu ficava olhando no seu celular direito pra tentar acha seu nome no Twitter mais nunca consegui 🤦‍♂️ — Acha isso b… {URL},🤦(1)♂(1),Não-PRU,,,Twitter for Device not cataloged
351,Sun Mar 24 02:00:37 +0000 2019,1109636101491384320,"{User} eu vi esse user no twitter, aqui! {URL} 💞",💞(1),Não-PRU,,,Twitter for Android
352,Sun Mar 24 01:47:35 +0000 2019,1109632820459290624,Ficamos um pouco ausentes aqui do Twitter porque essa semana foi corrida 🙏,🙏(1),Não-PRU,,,Twitter for Android
353,Sun Mar 24 01:38:17 +0000 2019,1109630480729690112,{User} {User} {User} {User} Vou guardar seu Twitter aqui pra te zoar quando vcs levarem mais um coro do Timão 📠,📠(1),Não-PRU,,,Twitter for iPhone
354,Sat Mar 23 23:33:06 +0000 2019,1109598978600042496,pensei q ia ter a faze outro Twitter mais graças a {User}  não vou precisar 💖,💖(1),Não-PRU,,,Twitter for iPhone
355,Sat Mar 23 22:08:55 +0000 2019,1109577791643766785,mais um twitter porque eu sempre esqueço a senha de todos 😂,😂(1),Não-PRU,,,Twitter for Android
356,Sat Mar 23 21:31:38 +0000 2019,1109568412349620226,{User} Eu também a.o o Twitter mais poucas pessoas falam comigo 😭😭,😭(2),Não-PRU,,,Twitter for Android
357,Sat Mar 23 21:21:33 +0000 2019,1109565872354533376,{User} {User} {User} Mais um Trouxa babaca não liga Mauro 👍,👍(1),Não-PRU,,,Twitter for Android
358,Sat Mar 23 21:13:34 +0000 2019,1109563862209032193,{User} {User} Aqui sigo 😊,😊(1),Não-PRU,,,Twitter for Android
359,Sat Mar 23 21:11:13 +0000 2019,1109563271101722627,{User} {User} {User} Mais um pai de família e cidadão de bem! 🙄 O cara repreende a atitude do {User}… {URL},🙄(1),Não-PRU,,,Twitter Web App
360,Sat Mar 23 20:36:20 +0000 2019,1109554494201716736,{User} {User} {User} Mais um que Mauro quer  que a empresa o demita 👁👁,👁(2),Não-PRU,,,Twitter for Android
361,Sat Mar 23 19:05:14 +0000 2019,1109531569440600066,Não adianta esconder  a máscara  novinha vc é safada se revela no twitter  mais paga de santa la fora. 😎,😎(1),Não-PRU,,,Twitter Web App
362,Sat Mar 23 18:12:11 +0000 2019,1109518219189075969,"aí o twitter tão fofo, qnd eu entro no meu perfil aparece vários balãozinhos 🤩",🤩(1),PRU,Elogio,Positiva,Twitter for iPhone
363,Sat Mar 23 18:00:10 +0000 2019,1109515192269004807,{User} {User} mais que merecido né mo!?😘💜,😘(1)💜(1),Não-PRU,,,Twitter for Android
364,Sat Mar 23 17:33:45 +0000 2019,1109508546394238978,Saindo do twitter porque estou com muita preguiça de ver esses pré-adolescentes babando o ovo dessa garota mimada 😴,😴(1),Não-PRU,,,Twitter Web Client
365,Sat Mar 23 15:12:08 +0000 2019,1109472906575261696,"Só são maduras no twitter. Só ""não atacam o Luan"" no twitter porque no dia a dia, nos grupinhos alheios não é bem assim não 🌚",🌚(1),Não-PRU,,,Twitter for Android
366,Sat Mar 23 15:11:59 +0000 2019,1109472866356084738,fiz twitter porque meus amigos pediram e principalmente a {User} me incentivou muito.💙,💙(1),Não-PRU,,,Twitter Web App
367,Sat Mar 23 14:44:02 +0000 2019,1109465832814530561,{User} {User} sua mae deixo entrar no twitter tao cedo??? uau 😲😲😲,😲(3),Não-PRU,,,Twitter for Android
368,Sat Mar 23 13:54:19 +0000 2019,1109453322434605057,gnt fiz esse twitter porque denunciaram o outro!🤦🏽‍♀️,🤦(1)♀(1),PRU,Crítica,Negativa,Twitter for Android
369,Sat Mar 23 05:20:21 +0000 2019,1109323978789842945,MATA AS MINHAS CURIOSIDADES 1- uma2- Perdi as contas kkkk 3- Às vezes 🤔4- Rua e moto 🤔 acho que só 5- 16- 1… {URL},🤔(2),Não-PRU,,,Twitter for iPhone
370,Sat Mar 23 05:09:50 +0000 2019,1109321330732818432,"amo meu namorado ele n tem twitter mais, mas vou dizer msm assim ❤",❤(1),Não-PRU,,,Twitter for Android
371,Sat Mar 23 05:03:27 +0000 2019,1109319724603711488,{User} O Twitter mais coerente 👏👏👏👏 {URL},👏(4),PRU,Elogio,Positiva,Twitter for Android
372,Sat Mar 23 00:08:04 +0000 2019,1109245391646658562,{User} Obrigado a você linda 😍🥰😘Deixando o Twitter mais agradável 😘💕😍🥰,😍(2)😘(2)💕(1),PRU,Elogio,Positiva,Twitter for iPhone
373,Fri Mar 22 23:55:28 +0000 2019,1109242221486837760,Se o próprio presidente não sai do Twitter porque eu vou sair 🤣 #JN,🤣(1),Não-PRU,,,Twitter for Android
374,Fri Mar 22 23:12:55 +0000 2019,1109231512816369664,"Já saiu nossa nova edição,então vamos movimentar esse Twitter aqui... 🌚  {User} no comando 😉",🌚(1)😉(1),Não-PRU,,,Twitter for iPhone
375,Fri Mar 22 19:59:36 +0000 2019,1109182860873945090,"Falam no Twitter mal mas na cara são os cuitados, cresçam mase já tem idade 😂",😂(1),Não-PRU,,,Twitter for Android
376,Fri Mar 22 19:38:40 +0000 2019,1109177594002505729,"Não adianta as pessoas darem aquela de ""ah não vi a tua mensagem""...mas no Twitter tão sempre 😂",😂(1),Não-PRU,,,Twitter for Android
377,Fri Mar 22 18:32:27 +0000 2019,1109160927935516674,"{User} {User} Salve 👍🏻👏🏻👏🏻 Menos mimimi no Twitter, mais reforma da previdência!",👍(1)👏(2),Não-PRU,,,Twitter for iPhone
378,Fri Mar 22 17:18:55 +0000 2019,1109142422649483264,"Não estou utilizando o twitter mais, sigam esse garoto lindo no Instagram 🤙🏻{URL}",🤙(1),Não-PRU,,,Twitter Web App
379,Fri Mar 22 16:11:50 +0000 2019,1109125544329863168,{User} {User} Já conhece até meu Twitter tão bem 💕💞💗❣️💘,💕(1)💞(1)💗(1)❣(1)💘(1),PRU,Elogio,Positiva,Twitter for Android
380,Fri Mar 22 15:19:54 +0000 2019,1109112473788010501,"Eu amo o Twitter, porque é onde encontro as melhores pessoas e ainda posso me expressar com gifs. 💜 {URL}",💜(1),PRU,Elogio,Positiva,Twitter Web Client
381,Fri Mar 22 12:06:44 +0000 2019,1109063861464907776,{User} Ninguém se livra do twitter tão fácil.. 😅,😅(1),Não-PRU,,,Twitter for Android
382,Fri Mar 22 06:15:19 +0000 2019,1108975422329495555,Pra que serve esse twitter aqui?? 🤔,🤔(1),PRU,Dúvida,Neutra,Twitter for Android
383,Fri Mar 22 04:13:15 +0000 2019,1108944705570521088,eu gosto demais do twitter porque ele nos proporciona memes e ao mesmo tempo podemos falar de nossas vidas de bosta 🤩🤩🤩👍,🤩(3)👍(1),PRU,Elogio,Positiva,Twitter for Android
384,Fri Mar 22 02:46:49 +0000 2019,1108922954484604928,"Ta, eu nunca tinha visto o twitter tao unido ❤️ {User} vc é um nenem",❤(1),PRU,Elogio,Positiva,Twitter for iPhone
385,Thu Mar 21 17:32:03 +0000 2019,1108783342990868481,"Depois de cinquenta anos falando que iria criar um twitter, aqui está... Finalmente me rendi 🤦🏻‍♀️",🤦(1)♀(1),Não-PRU,,,Twitter for Android
386,Thu Mar 21 00:45:37 +0000 2019,1108530063115472896,Essas Novinha Do Twitter Tão De Mais😅💕,😅(1)💕(1),Não-PRU,,,Twitter for Android
387,Wed Mar 20 19:51:38 +0000 2019,1108456079002923008,"Vamos nos esforçar para tornar o Twitter mais honesto, seguro e um lugar melhor 😉 {User} {User}… {URL}",😉(1),PRU,Sugestão,Positiva,Twitter for Android
388,Wed Mar 20 19:32:20 +0000 2019,1108451223680831488,"Eu já falei pra vcs que eu amo o Twitter porque não tem meus parente Bolsominion??Obg, tt. Sua existência muda minha vida 💕",💕(1),PRU,Elogio,Positiva,Twitter for iPhone
389,Wed Mar 20 18:07:35 +0000 2019,1108429894764109825,"até eu conseguir movimentar esse twitter aqui, vai ser maior luta 🤦",🤦(1),Não-PRU,,,Twitter for Android
390,Wed Mar 20 15:18:01 +0000 2019,1108387221596504065,{User} Num twitter aqui 🙄🙄,🙄(2),Não-PRU,,,Twitter Web App
391,Wed Mar 20 14:34:45 +0000 2019,1108376335762767872,Alguém aí estava ansioso pra nossa chegada no Twitter? Porque a gente estava! 😍,😍(1),Não-PRU,,,Twitter Web Client
392,Wed Mar 20 03:40:46 +0000 2019,1108211753563889664,{User} {User} Eu parar de falar besteira?Da um olhada nesse twitter aqui 👇👇👇👇… {URL},👇(4),Não-PRU,,,Twitter for Android
393,Tue Mar 19 23:48:00 +0000 2019,1108153176824389632,Massa esse twitter.. Aqui se ver de tudo um pouco kk😂,😂(1),PRU,Elogio,Positiva,Twitter Web App
394,Tue Mar 19 19:29:54 +0000 2019,1108088222402441217,Novo twitter porque eu perdi minha conta então segue esse novo aqui😌👆 {URL},😌(1)👆(1),Não-PRU,,,Twitter for Android
395,Tue Mar 19 17:24:43 +0000 2019,1108056719341641728,{User} Pode ajudar o nosso Twitter aqui? Tamo junto irmão. 🤝,🤝(1),Não-PRU,,,Twitter Web App
396,Tue Mar 19 14:41:27 +0000 2019,1108015634242138113,"{User} bem vindo ao Twitter, aqui sim podes expressar os teus sentimentos. 😂",😂(1),Não-PRU,,,Twitter for iPhone
397,Tue Mar 19 07:38:01 +0000 2019,1107909070726619136,"Depois de mili anos sem Twitter aqui, estou eu novamente 😌",😌(1),Não-PRU,,,Twitter for iPhone
398,Tue Mar 19 03:15:47 +0000 2019,1107843078667337729,{User} sabe uma mina braba do twitter ? aqui ela {User} . 💞,💞(1),Não-PRU,,,Twitter for Android
399,Tue Mar 19 02:57:20 +0000 2019,1107838436227145728,"Podia ter como reagir no twitter, porque o meu coração tá quebrado 💔 {URL}",💔(1),PRU,Sugestão,Negativa,Twitter for Android
400,Tue Mar 19 02:39:22 +0000 2019,1107833915841150978,Enfim... Twitter aqui estou eu! 😄🎉,😄(1)🎉(1),Não-PRU,,,Twitter for Android
401,Tue Mar 19 02:38:10 +0000 2019,1107833611309510664,Meu companheiro achou estranho eu aqui postando no Twitter. Mal sabe ele que faz nove anos que eu converso sozinha aqui. 😂,😂(1),Não-PRU,,,Twitter for Android
402,Tue Mar 19 00:53:51 +0000 2019,1107807362503663616,Qual seu Twitter?Porque meus pais mandaram eu seguir meus sonhos🤩,🤩(1),Não-PRU,,,Twitter for Android
403,Tue Mar 19 00:49:29 +0000 2019,1107806260055945217,Posta no twitter aqui em Itambi é o melhor baile 🎖️😋,🎖(1)😋(1),Não-PRU,,,Twitter for Android
404,Tue Mar 19 00:23:41 +0000 2019,1107799769257267200,{User} Ajuda nosso Twitter aqui? Tamo junto irmão. 👊,👊(1),Não-PRU,,,Twitter Web App
405,Mon Mar 18 23:07:45 +0000 2019,1107780660234735616,"{User} {User} Graças a Deus temos as redes, em especial o twitter.Aqui a gente toca o terror.🇧🇷🇧🇷👋👋#GloboEsgotoDaTV",👋(2),Não-PRU,,,Twitter for Android
406,Mon Mar 18 22:13:13 +0000 2019,1107766937558364160,"Vou apagar o Twitter , aqui vê se com cada merda , Kiss 🖕😘",🖕(1)😘(1),PRU,Crítica,Negativa,Twitter for Android
407,Mon Mar 18 19:53:46 +0000 2019,1107731842457845765,"Lá pra 2010 ou 2011, elevaram o pôquer à condição de esporte. Dei uma zoada no Twitter, porque pra mim era (e é 😛)… {URL}",😛(1),Não-PRU,,,Twitter for iPhone
408,Mon Mar 18 19:00:45 +0000 2019,1107718498690707457,"Depois de mais de um mês sem Twitter, porque perdi o outro decidi fazer outro 🙏🏻",🙏(1),Não-PRU,,,Twitter Web App
409,Mon Mar 18 18:18:05 +0000 2019,1107707764627914752,Só não mexo na minha capa do twitter porque o {User} é o foco ❤,❤(1),Não-PRU,,,Twitter for Android
410,Mon Mar 18 17:41:42 +0000 2019,1107698607862546432,Ai Twitter tão pouco te conheço mas tanto te amo 😂 {URL},😂(1),PRU,Elogio,Positiva,Twitter for iPhone
411,Fri Mar 29 22:55:55 +0000 2019,1111763949605871617,"Nem mecho twitter mais, minhas amigas queridas desativaram a conta😂😂😂",😂(3),Não-PRU,,,Twitter for Android
412,Fri Mar 29 22:45:21 +0000 2019,1111761290933006336,vo usa twitter mais não 👍🏻,👍(1),Não-PRU,,,Twitter for iPhone
413,Fri Mar 29 22:37:04 +0000 2019,1111759206464540672,"Que isso o que faço é muito pequeno ,também já tive ajuda no Twitter como também minhas raivas 🤗 {URL}",🤗(1),Não-PRU,,,Twitter for Android
414,Fri Mar 29 22:20:41 +0000 2019,1111755083576983555,{User} {User} ✌😪 pode apostar que quando eu ter amg vai td mundo desse twitter saber Kkkkkkk,✌(1)😪(1),Não-PRU,,,Twitter for Android
415,Fri Mar 29 21:43:27 +0000 2019,1111745711023050752,nada de bom no twitter dar uma sumida zerohedge tá melhor 👍,👍(1),Não-PRU,,,Twitter Web Client
416,Fri Mar 29 20:56:04 +0000 2019,1111733785219997697,"{User} to no meu twitter, como eu estava dizendo 😍",😍(1),Não-PRU,,,Twitter for Android
417,Fri Mar 29 19:29:52 +0000 2019,1111712093110239235,"Pessoas estudiosas do meu Twitter, como é o método de estudos de vcs??? 🤓📖📚",🤓(1)📖(1)📚(1),Não-PRU,,,Twitter Web App
418,Fri Mar 29 14:57:24 +0000 2019,1111643525215604738,"💕 Não gosto, quando me classificam, por causa dos meus comentários no "" meu twitter "", como se eu fosse de "" lá "" o… {URL}",💕(1),Não-PRU,,,Twitter Web App
419,Fri Mar 29 11:41:38 +0000 2019,1111594258417569792,{User} tu vens po twitter fazer declarações de amor ❤️ que gayzolas oh Resende secalhar so tens coragem de… {URL},❤(1),Não-PRU,,,Twitter for iPhone
420,Fri Mar 29 09:16:07 +0000 2019,1111557638112927745,Oiê povo do Twitter -  mais legal e lindo 😍,😍(1),Não-PRU,,,Twitter for Android
421,Fri Mar 29 05:10:05 +0000 2019,1111495721562324998,Tava olhando uns bgl que o povo me marcava aqui no Twitter como eu nao dei valor pra gente que gostava de mim de verdade sou um lixo 😞,😞(1),Não-PRU,,,Twitter for Android
422,Fri Mar 29 03:49:23 +0000 2019,1111475414231330816,Eu no rolê dessa noite:Sentado no canto do bar sozinho mexendo no twitter como se estivesse no meu quarto 🤷🏼‍♂️,🤷(1)♂(1),Não-PRU,,,Twitter for iPhone
423,Fri Mar 29 03:38:10 +0000 2019,1111472590684594176,Impressionante como eu consigo deixar meu twitter mais bagunçado que a minha vida. 😬,😬(1),Não-PRU,,,Twitter for Android
424,Fri Mar 29 03:06:05 +0000 2019,1111464516062248960,Jurei que não ia mexer no Twitter mais ... olha eu aqui de novo 🤦🏻‍♀️,🤦(1)♀(1),Não-PRU,,,Twitter for iPhone
425,Fri Mar 29 02:32:42 +0000 2019,1111456117496926208,{User} E não me convidaram? Já sabem... ❌🌭Menos Twitter; Mais refeições. Vou travarrr tudo.,❌(1)🌭(1),Não-PRU,,,Twitter for iPhone
426,Fri Mar 29 02:01:17 +0000 2019,1111448210596192257,tem a opção de deixar o Twitter mais escuro ainda tipo preto agora e eu já quero 🖤  pena que ainda só tem p iphone,🖤(1),PRU,"Elogio, Crítica",Positiva,Twitter for Android
427,Fri Mar 29 01:15:48 +0000 2019,1111436764642631687,Eu nunca vi Twitter mais sem graça que nem o meu😒,😒(1),Não-PRU,,,Twitter Web App
428,Thu Mar 28 23:24:31 +0000 2019,1111408759736172551,"Eu posto as coisas no Twitter como se ninguém fosse ver, principalmente de outra rede social, quando vejo tá todo mundo no tt 😂😂😂",😂(3),Não-PRU,,,Twitter for iPhone
429,Thu Mar 28 23:12:01 +0000 2019,1111405612716318720,Denunciar esse twitter mais resgatei..😂😚🏅🏌,😂(1)😚(1)🏅(1)🏌(1),Não-PRU,,,Twitter Web App
430,Thu Mar 28 22:22:01 +0000 2019,1111393029515083777,{User} {User} Como coloca assim ? 🤣🤣,🤣(2),Não-PRU,,,Twitter for iPhone
431,Thu Mar 28 21:41:26 +0000 2019,1111382817018007553,{User} owww so cute 💕🖤 twitter como parte de una terapia cotidiana,💕(1)🖤(1),Não-PRU,,,Twitter for iPhone
432,Thu Mar 28 21:33:37 +0000 2019,1111380848232660993,"engraçado que a senha desse twitter aqui que eu fiz em 2014 eu lembro, mas a do que eu fiz ano passado não 👌",👌(1),Não-PRU,,,Twitter for Android
433,Thu Mar 28 21:24:37 +0000 2019,1111378584420012037,Aaah que Twitter mais lindo esse totalmente escuro ❤️,❤(1),PRU,Elogio,Positiva,Twitter for iPhone
434,Thu Mar 28 20:10:20 +0000 2019,1111359892009426945,Ela não tem Twitter mais está agradecendo a todos pelo o carinho e apoio ❤ {URL},❤(1),Não-PRU,,,Twitter for Android
435,Thu Mar 28 19:35:55 +0000 2019,1111351230335455240,vi uma menina do twitter aqui na rua nao quero repetir essa experiencia sou timida 😳😳😳😳,😳(4),Não-PRU,,,Twitter for iPhone
436,Thu Mar 28 19:28:53 +0000 2019,1111349458896384000,Oxe que coisa linda essa opção de deixar o twitter mais escuro do que já tá🤤,🤤(1),PRU,Elogio,Positiva,Twitter for iPhone
437,Thu Mar 28 19:12:01 +0000 2019,1111345212260052992,"Larguei o Twitter como as pessoas fazem comigo, só que eu voltei... as pessoas não 😂💔",😂(1)💔(1),Não-PRU,,,Twitter for iPhone
438,Thu Mar 28 15:15:56 +0000 2019,1111285801961304065,com essa vida de adulto minha não consigo nem usar o Twitter mais 🤦🏼‍♀️,🤦(1)♀(1),Não-PRU,,,Twitter for iPhone
439,Thu Mar 28 12:25:28 +0000 2019,1111242902586515458,"Mais um aniversário com fotos no Twitter...COMO TU SAI BONITA ATÉ EM FOTO ZOADA O DESGRAÇA? Parabéns, xuxis 💙 curt… {URL}",💙(1),Não-PRU,,,Twitter for Android
440,Thu Mar 28 10:25:37 +0000 2019,1111212740671127554,só alguém pra me amar assim e falar de mim no twitter como ele fala dela 😪 {URL},😪(1),Não-PRU,,,Twitter for Android
441,Thu Mar 28 08:38:12 +0000 2019,1111185706905423872,"Tô sem twitter, como vou pegar seu número? Kk — 🤔🤷🏽‍♂️ {URL}",🤔(1)🤷(1)♂(1),Não-PRU,,,Twitter for Device not cataloged
442,Thu Mar 28 06:12:29 +0000 2019,1111149036919242753,"Eu fico maior tempao sem entrar no twitter, mais quando eu entro 😄",😄(1),Não-PRU,,,Twitter for Android
443,Thu Mar 28 03:49:01 +0000 2019,1111112935114530816,"É SPOILER QUE VOCÊ QUER @? 🤭As três pessoas que voltarem do paredão que normalmente será quádruplo, irá disputar… {URL}",🤭(1),Não-PRU,,,Twitter for Android
444,Thu Mar 28 01:40:27 +0000 2019,1111080579276120064,"{User} Caiu é? Não foi isso que o Presidente acabou de afirmar aqui no Twitter! Mais uma fake news. Vinda da esquerda, claro. 😂 😂 😂 😂",😂(4),Não-PRU,,,Twitter for Android
445,Thu Mar 28 01:39:37 +0000 2019,1111080368340459520,Que coisa.. já mandaram o Bolso sair do Twitter. Como a imprensa vai fazer fakenews em paz com ele tuitando?? 😂,😂(1),Não-PRU,,,Twitter Web App
446,Thu Mar 28 01:15:18 +0000 2019,1111074248217501697,"Socorro que meu macho fez um twitter, como vou falar mal de você agora? Mentira, te amo amor 🖤 {URL}",🖤(1),Não-PRU,,,Twitter for iPhone
447,Wed Mar 27 23:42:22 +0000 2019,1111050862414217216,{User} Twitter mais movimentado que o jogo do São Paulo 😂,😂(1),Não-PRU,,,Twitter for iPhone
448,Wed Mar 27 23:28:28 +0000 2019,1111047365002227712,Agora vamos deixar o Twitter mais verde! 💚 {URL},💚(1),PRU,Sugestão,Neutra,Twitter Web Client
449,Wed Mar 27 21:53:53 +0000 2019,1111023563161649152,"Nossa, muita gente auê nesse Twitter aqui... da vontade até de criar outro 🙄",🙄(1),Não-PRU,,,Twitter for iPhone
450,Wed Mar 27 21:48:13 +0000 2019,1111022134900473858,"Estava analisando aqui e do dia 25 até agora, parcial do dia 27 temos incríveis números:🤑12 GREEN❌ 2 RED Lembr… {URL}",🤑(1)❌(1),Não-PRU,,,Twitter for Android
451,Wed Mar 27 20:01:13 +0000 2019,1110995208941068288,{User} ADM quero meu áudio tbm estou com inveja da Peppa a porca ..eu sou uma desprivilegiada mesmo 😭😭😭😭😭… {URL},😭(5),Não-PRU,,,Twitter for Android
452,Wed Mar 27 19:48:23 +0000 2019,1110991979754737665,Queria ser ativo no twitter mais n tenho criatividade pra escrever nada 🔥🚀,🔥(1)🚀(1),Não-PRU,,,Twitter for Android
453,Wed Mar 27 19:35:52 +0000 2019,1110988828268023810,{User} {User} Mais já atualizou de novo? Tomará que demore horrores para chegar no meu perebinha aqui..😂😂😂,😂(3),PRU,Dúvida,Negativa,Twitter for Android
454,Wed Mar 27 19:06:02 +0000 2019,1110981321197830146,E a BigHit conseguiu parar o Twitter mais uma vez 😍😍 #MAP_OF_THE_SOUL_PERSONA #BTS #Persona #MapOfTheSoulPersona {URL},😍(2),Não-PRU,,,Twitter for Android
455,Wed Mar 27 18:47:50 +0000 2019,1110976738455113729,{User} Deborahh agora eu tenho twitter mais nao sei usar 😂,😂(1),PRU,Dúvida,Negativa,Twitter for Android
456,Wed Mar 27 17:51:05 +0000 2019,1110962458267734018,"{User} {User} {User} {User} {User} , sem duvida vc é a melhor pessoa desse Twitter,mais autêntica impossível!!💓",💓(1),Não-PRU,,,Twitter for iPhone
457,Wed Mar 27 17:08:14 +0000 2019,1110951673558720518,Olá esse é o nosso twitter! Aqui você fica por dentro das nossas promoções 😍,😍(1),Não-PRU,,,Twitter Web App
458,Wed Mar 27 16:51:18 +0000 2019,1110947411881541632,Tá me marcando pq? Tenho nem twitter mais 🙄😂😂😂,🙄(1)😂(3),Não-PRU,,,Twitter for Android
459,Wed Mar 27 15:29:49 +0000 2019,1110926908060065799,{User} {User} fora do Twitter como a grande mídia deseja. 😂 {URL},😂(1),Não-PRU,,,Twitter Web App
460,Wed Mar 27 15:10:34 +0000 2019,1110922061629804544,"{User} Eu abro o Twitter aqui no trampo, com o celular em cima da mesa e fazendo barreira com as mãos dos lados 😂",😂(1),Não-PRU,,,Twitter for Android
461,Wed Mar 27 10:26:03 +0000 2019,1110850461287022592,Owo estou a um ano no Twitter! Como que aguentei tanto tempo?😅 #MeuAniversárioDoTwitter {URL},😅(1),Não-PRU,,,Twitter for Android
462,Wed Mar 27 10:19:32 +0000 2019,1110848820634701824,{User} Por favor nao deixa ela morrer nao..😭😭😭😭😭😭😭Poxa eu fiquei chorando um tempão ontem ate nem mexi no Twitter mais rsrs,😭(7),Não-PRU,,,Twitter for Android
463,Wed Mar 27 09:36:01 +0000 2019,1110837870988836864,Professional 🤓👩🏻‍💼💻#me #biancaneve #selfie #laragazzamilanese #cerbiatta #blogger #Twitter #Tweet #TagsForLikes… {URL},🤓(1)👩(1)💼(1)💻(1),Não-PRU,,,Twitter for Android
464,Wed Mar 27 07:59:42 +0000 2019,1110813632609337344,Tem Muito Coisa Q Queria Posta No Twitter Mais Infelizmente Não Posso 🤦😌,🤦(1)😌(1),PRU,Crítica,Negativa,Twitter for Android
465,Wed Mar 27 06:00:24 +0000 2019,1110783610611597312,"Bendito Twitter, como te amo 🤣🤣🤣🤣🤣 {URL}",🤣(5),PRU,Elogio,Positiva,Twitter for Android
466,Wed Mar 27 05:16:40 +0000 2019,1110772602375684097,Eu acho quer vou perde esse Twitter aqui pq perdi o e-mail 😭😭,😭(2),PRU,Dúvida,Negativa,Twitter for Android
467,Wed Mar 27 05:04:01 +0000 2019,1110769419515580416,"O {User} mano, to surtando tu posta e foge do Twitter? Como assim meu querido?😐💖 {URL}",😐(1)💖(1),Não-PRU,,,Twitter for Android
468,Wed Mar 27 04:40:38 +0000 2019,1110763536114946048,{User} {User} Es Twitter aqui nada se toma a pecho 😂,😂(1),Não-PRU,,,Twitter for Android
469,Wed Mar 27 03:40:22 +0000 2019,1110748368542879745,"{User} {User} {User} {User} Por óbvio! Recado claro: menos Twitter, mais gestão.🤔",🤔(1),Não-PRU,,,Twitter for iPhone
470,Wed Mar 27 02:59:36 +0000 2019,1110738111582162944,Do nada achei seu twitter aqui ae. Tavo relembrando os velhos tempo mais tem muito tempo mesmo 😎😂😂😂 — kkkk q {URL},😎(1)😂(3),Não-PRU,,,Twitter for Device not cataloged
471,Wed Mar 27 02:58:02 +0000 2019,1110737715824345088,BEM-VINDOS AO TWITTER MAIS BISONHO DA GALERA 🐵,🐵(1),Não-PRU,,,Twitter Web App
472,Wed Mar 27 02:23:10 +0000 2019,1110728939943665664,"Protagonismo. Essa é a palavra do ano, e eu uso o Twitter como bloco de notas. ✌🏻",✌(1),Não-PRU,,,Twitter for iPhone
473,Wed Mar 27 01:54:43 +0000 2019,1110721782007427073,{User} twitter mais didático q muitos livros por ai 🙏,🙏(1),PRU,Elogio,Positiva,Twitter for Android
474,Wed Mar 27 01:53:39 +0000 2019,1110721510799495168,{User} {User} {User} minha dm é impossível vcs obterem já viu o final do meu nick no twitter aqui é nível hard!!!!💪🏻,💪(1),Não-PRU,,,Twitter for Android
475,Wed Mar 27 01:42:40 +0000 2019,1110718749664047104,"eu falando no Twitter como se a pessoa fosse ver a indireta, mas ela nem tem tt 🤪",🤪(1),Não-PRU,,,Twitter for iPhone
476,Wed Mar 27 01:30:56 +0000 2019,1110715797805121541,Twitter mais bugado que tudo no mundo 🤩,🤩(1),PRU,Crítica,Negativa,Twitter for Android
477,Wed Mar 27 01:10:11 +0000 2019,1110710575754104832,Maior parada desses mlk kk mete maior marra no Twitter mais na pista e Boneca 🖕😂kkk,🖕(1)😂(1),Não-PRU,,,Twitter for Android
